REGIJA,OBDOBJE,STEV_UCENCEV,VZROK,TRAJANJE
Central Slovenia,SREDNJA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,VRTEC,veliko,Okužba pri delavcu,srednje
Eastern Slovenia,OSNOVNA ŠOLA,veliko,Sum na okužbo pri otroku / učencu / dijaku,kratko
Central Slovenia,VRTEC,srednje,Sum na okužbo pri otroku / učencu / dijaku,kratko
Western Slovenia,GLASBENA ŠOLA,malo,Sum na okužbo pri otroku / učencu / dijaku,kratko
Western Slovenia,GLASBENA ŠOLA,srednje,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,GLASBENA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,GLASBENA ŠOLA,malo,Okužba pri delavcu,kratko
Eastern Slovenia,OSNOVNA ŠOLA,malo,Sum na okužbo pri otroku / učencu / dijaku,srednje
Central Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,GLASBENA ŠOLA,veliko,Okužba pri delavcu,srednje
Eastern Slovenia,OSTALO,malo,Okužba pri otroku / učencu / dijaku,kratko
Eastern Slovenia,SREDNJA ŠOLA,srednje,Sum na okužbo pri otroku / učencu / dijaku,kratko
Eastern Slovenia,SREDNJA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Central Slovenia,OSTALO,malo,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,OSTALO,malo,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,GLASBENA ŠOLA,malo,Okužba pri otroku / učencu / dijaku,kratko
Western Slovenia,VRTEC,srednje,Okužba pri delavcu,srednje
Western Slovenia,VRTEC,malo,Okužba pri otroku / učencu / dijaku,srednje
Western Slovenia,GLASBENA ŠOLA,srednje,Okužba pri delavcu,srednje
Western Slovenia,SREDNJA ŠOLA,veliko,Okužba pri otroku / učencu / dijaku,srednje
Central Slovenia,VRTEC,malo,Okužba pri delavcu,kratko
