REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Primorsko-notranjska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Posavska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Posavska,malo,Okužba s Covid-19 pri učitelju,9 days
Savinjska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Podravska,malo,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,malo,Okužba s Covid-19 pri učitelju,9 days
Podravska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Obalno-kraška,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,1 days
Podravska,malo,Okužba s Covid-19 pri vzgojitelju,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,9 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri otroku / učencu / dijaku ali več učencih oddelka,0 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Zasavska,zelo malo,Okužba s Covid-19 pri učitelju,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učitelju,6 days
Zasavska,zelo malo,Okužba s Covid-19 pri učitelju,8 days
Zasavska,malo,Okužba s Covid-19 pri učitelju,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri vzgojitelju,3 days
Koroška,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,6 days
Posavska,srednje,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,9 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Posavska,srednje,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,9 days
Podravska,srednje,Okužba s Covid-19 pri učitelju,10 days
Savinjska,zelo veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,10 days
Pomurska,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri dijaku ali več dijakih oddelka,8 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Savinjska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Zasavska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
Pomurska,malo,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,7 days
Pomurska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,7 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,6 days
