REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Savinjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Podravska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Podravska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Savinjska,malo,Sum na okužbo s Covid-19 pri učitelju,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učitelju,9 days
Podravska,zelo veliko,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,9 days
Savinjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Gorenjska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,srednje,Okužba s Covid-19 pri vzgojitelju,8 days
Savinjska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Gorenjska,veliko,Okužba s Covid-19 pri učitelju,9 days
Podravska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Posavska,srednje,Okužba s Covid-19 pri drugem strokovnem delavcu,7 days
Posavska,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Podravska,veliko,Okužba s Covid-19 pri drugem delavcu,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Goriška,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,11 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri učitelju,11 days
Gorenjska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,13 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Podravska,malo,Okužba s Covid-19 pri drugem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Osrednjeslovenska,veliko,Okužba s Covid-19 pri učencu ali več učencih oddelka,14 days
Posavska,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Posavska,srednje,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,10 days
Podravska,srednje,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri učencu ali več učencih oddelka,7 days
Podravska,zelo malo,Sum na okužbo s Covid-19 pri učencu ali več učencih oddelka,10 days
