REGIJA,STEV_UCENCEV,VZROK,TRAJANJE
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,3 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,2 days
Jugovzhodna Slovenija,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Gorenjska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,zelo malo,Okužba s Covid-19 pri vzgojitelju,10 days
Pomurska,zelo malo,Okužba s Covid-19 pri vzgojitelju,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Goriška,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Osrednjeslovenska,srednje,Sum na okužbo s Covid-19 pri drugem delavcu,9 days
Jugovzhodna Slovenija,srednje,Okužba s Covid-19 pri vzgojitelju,10 days
Savinjska,malo,Okužba s Covid-19 pri učencu ali več učencih oddelka,8 days
Osrednjeslovenska,srednje,Okužba s Covid-19 pri vzgojitelju,9 days
Obalno-kraška,malo,Okužba s Covid-19 pri drugem strokovnem delavcu,10 days
Osrednjeslovenska,malo,Sum na okužbo s Covid-19 pri otroku ali več otrocih skupine,9 days
Jugovzhodna Slovenija,malo,Okužba s Covid-19 pri vzgojitelju,10 days
Jugovzhodna Slovenija,veliko,Okužba s Covid-19 pri otroku ali več otrocih skupine,10 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri drugem strokovnem delavcu,10 days
Primorsko-notranjska,zelo malo,Okužba s Covid-19 pri učitelju,9 days
Gorenjska,zelo malo,Okužba s Covid-19 pri učitelju,10 days
Goriška,zelo malo,Okužba s Covid-19 pri vzgojitelju,7 days
Gorenjska,zelo malo,Sum na okužbo s Covid-19 pri učitelju,3 days
