Sequence,Support,Relative Frequency
{kratko},10,0.8333333333333334
{malo},11,0.9166666666666666
{SREDNJA ŠOLA},11,0.9166666666666666
{VRTEC},11,0.9166666666666666
{veliko},11,0.9166666666666666
{srednje},12,1.0
{Okužba s Covid-19 pri dijaku ali več dijakih oddelka},11,0.9166666666666666
{Okužba s Covid-19 pri učencu ali več učencih oddelka},12,1.0
{Okužba pri delavcu},9,0.75
{Okužba s Covid-19 pri učitelju},11,0.9166666666666666
{OSNOVNA ŠOLA},12,1.0
"{veliko}, {Okužba s Covid-19 pri dijaku ali več dijakih oddelka}",10,0.8333333333333334
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka}, {srednje}",9,0.75
"{OSNOVNA ŠOLA, srednje}",12,1.0
"{malo, srednje}",10,0.8333333333333334
"{veliko}, {srednje}",11,0.9166666666666666
"{srednje}, {Okužba s Covid-19 pri učencu ali več učencih oddelka}",9,0.75
"{Okužba pri delavcu}, {srednje}",9,0.75
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {malo}",11,0.9166666666666666
"{Okužba s Covid-19 pri učitelju}, {veliko}",9,0.75
"{Okužba s Covid-19 pri učencu ali več učencih oddelka, kratko}",9,0.75
"{OSNOVNA ŠOLA, veliko}",10,0.8333333333333334
"{malo}, {malo}",9,0.75
"{OSNOVNA ŠOLA, Okužba s Covid-19 pri učencu ali več učencih oddelka}",12,1.0
"{veliko}, {veliko}",11,0.9166666666666666
"{Okužba s Covid-19 pri učitelju, srednje}",11,0.9166666666666666
"{Okužba s Covid-19 pri dijaku ali več dijakih oddelka, SREDNJA ŠOLA}",11,0.9166666666666666
"{OSNOVNA ŠOLA}, {kratko}",10,0.8333333333333334
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {SREDNJA ŠOLA}",11,0.9166666666666666
"{Okužba s Covid-19 pri učencu ali več učencih oddelka}, {VRTEC}",10,0.8333333333333334
"{VRTEC}, {Okužba s Covid-19 pri učitelju}",9,0.75
"{VRTEC}, {OSNOVNA ŠOLA}",10,0.8333333333333334
"{kratko}, {malo}",10,0.8333333333333334
"{malo}, {VRTEC}",9,0.75
"{OSNOVNA ŠOLA}, {OSNOVNA ŠOLA}",11,0.9166666666666666
"{SREDNJA ŠOLA}, {SREDNJA ŠOLA}",10,0.8333333333333334
"{srednje}, {kratko}",10,0.8333333333333334
"{Okužba s Covid-19 pri učitelju}, {srednje}",11,0.9166666666666666
"{malo}, {veliko}",10,0.8333333333333334
"{OSNOVNA ŠOLA, kratko}",10,0.8333333333333334
"{srednje}, {Okužba s Covid-19 pri učitelju}",11,0.9166666666666666
